rank,name,industry,revenue (usd million),revenue growth,employees,headquarters
1,Walmart,Retail,"559,200",Increase 1.9%,"2,200,000","Bentonville, Arkansas"
2,Amazon,Retail,"386,064",Increase 20.5%,"1,225,300","Seattle, Washington"
3,Apple Inc.,Electronics industry,"274,515",Increase 2.0%,"137,000","Cupertino, California"
4,CVS Health,Healthcare,"268,706",Increase 32.0%,"290,000","Woonsocket, Rhode Island"
5,ExxonMobil,Petroleum industry,"264,938",Decrease 8.7%,"74,900","Irving, Texas"
6,UnitedHealth Group,Healthcare,"257,141",Increase 7.0%,"325,000","Minnetonka, Minnesota"
7,Berkshire Hathaway,Conglomerate,"254,616",Increase 2.7%,"391,500","Omaha, Nebraska"
8,McKesson Corporation,Healthcare,"214,319",Increase 2.9%,"70,000","Irving, Texas"
9,AmerisourceBergen,Pharmaceutical industry,"189,900",Increase 6.9%,"21,500","Chesterbrook, Pennsylvania"
10,Alphabet Inc.,Technology,"182,530",Increase 18.3%,"118,899","Mountain View, California"
11,AT&T,Conglomerate,"181,193",Increase 6.1%,"247,800","Dallas, Texas"
12,Cigna,Health Insurance,"160,400",Increase 215.7%,"73,700","Bloomfield, Connecticut"
13,Ford Motor Company,Automotive industry,"155,900",Decrease 2.8%,"190,000","Dearborn, Michigan"
14,Costco,Retail,"152,703",Increase 7.9%,"201,500","Issaquah, Washington"
15,Chevron Corporation,Petroleum industry,"146,516",Decrease 11.9%,"48,200","San Ramon, California"
16,Cardinal Health,Healthcare,"145,534",Increase 6.4%,"49,500","Dublin, Ohio"
17,Microsoft,Technology,"143,000",Increase 14.0%,"144,000","Redmond, Washington"
18,JPMorgan Chase,Financial services,"142,422",Increase 8.4%,"256,981","New York City, New York"
19,General Motors,Automotive,"137,237",Decrease 6.7%,"164,000","Detroit, Michigan"
20,Walgreens Boots Alliance,Pharmaceutical industry,"136,866",Increase 4.1%,"287,000","Deerfield, Illinois"
21,Verizon Communications,Telecommunications,"131,868",Increase 0.8%,"135,000","New York City, New York"
22,Marathon Petroleum,Petroleum industry,"124,813",Increase 28.5%,"60,910","Findlay, Ohio"
23,Kroger,Retail,"122,286",Increase 0.9%,"435,000","Cincinnati, Ohio"
24,Fannie Mae,Financials,"120,304",Increase 0.2%,"7,500","Washington, D.C."
25,Bank of America,Financials,"113,589",Increase 2.7%,"208,131","Charlotte, North Carolina"
26,The Home Depot,Retail,"110,225",Increase 1.9%,"415,700","Atlanta, Georgia"
27,Phillips 66,Petroleum industry,"109,559",Decrease 4.1%,"14,500","Houston, Texas"
28,Comcast,Telecommunications,"108,942",Increase 15.3%,"190,000","Philadelphia, Pennsylvania"
29,Anthem,Healthcare,"104,213",Increase 13.1%,"70,600","Indianapolis, Indiana"
30,Wells Fargo,Financials,"103,915",Increase 2.8%,"259,800","San Francisco, California"
31,Citigroup,Financials,"103,449",Increase 6.5%,"200,000","New York City, New York"
32,Valero Energy,Petroleum industry,"102,729",Decrease 7.8%,"10,222","San Antonio, Texas"
33,General Electric,Conglomerate,"95,214",Decrease 20.8%,"205,000","Boston, Massachusetts"
34,Dell Technologies,Technology,"92,154",Increase 1.7%,"165,000","Round Rock, Texas"
35,Johnson & Johnson,Pharmaceutical industry,"82,059",Increase 0.6%,"132,200","New Brunswick, New Jersey"
36,State Farm,Financials,"79,395",Decrease 2.9%,"57,672","Bloomington, Illinois"
37,Target Corporation,Retail,"78,112",Increase 3.7%,"368,000","Minneapolis, Minnesota"
38,IBM,Technology,"77,147",Decrease 3.1%,"383,800","Armonk, New York"
39,United Technologies,Conglomerate,"77,046",Increase 15.9%,"243,200","Waltham, Massachusetts"
40,Boeing,Aerospace and defense,"76,559",Decrease 24.3%,"161,100","Chicago, Illinois"
41,Freddie Mac,Financials,"75,125",Increase 2.1%,"6,892","McLean, Virginia"
42,Centene,Healthcare,"74,639",Increase 24.2%,"56,600","St. Louis, Missouri"
43,United Parcel Service,Transportation,"74,094",Increase 3.1%,"377,640","Atlanta, Georgia"
44,Lowe's,Retail,"72,148",Increase 1.2%,"260,000","Mooresville, North Carolina"
45,Intel,Technology,"71,965",Increase 1.6%,"110,800","Santa Clara, California"
46,Procter & Gamble,Consumer products Manufacturing,"70,950",Increase 1.3%,"97,000","Cincinnati, Ohio"
47,Facebook,Technology,"70,697",Increase 26.6%,"44,942","Menlo Park, California"
48,PepsiCo,Beverage,"70,370",Increase 3.7%,"267,000","Purchase, New York"
49,FedEx,Transportation,"69,693",Increase 6.5%,"389,500","Memphis, Tennessee"
50,MetLife,Financials,"69,620",Increase 2.5%,"49,000","New York City, New York"
51,The Walt Disney Company,Media,"69,570",Increase 17.1%,"223,000","Burbank, California"
52,Humana,Health Insurance,"64,888",Increase 14.0%,"46,000","Louisville, Kentucky"
53,Prudential Financial,Financials,"64,807",Increase 2.9%,"51,511","Newark, New Jersey"
54,Archer Daniels Midland,Food industry,"64,656",Increase 0.5%,"38,100","Chicago, Illinois"
55,Albertsons,Retail,"60,535",Increase 1.0%,"267,000","Boise, Idaho"
56,Sysco,Food Service,"60,114",Increase 2.4%,"69,000","Houston, Texas"
57,Lockheed Martin,Aerospace and Defense,"59,812",Increase 11.3%,"110,000","Bethesda, Maryland"
58,HP Inc.,Technology,"58,756",Increase 0.5%,"56,000","Palo Alto, California"
59,Energy Transfer Partners,Petroleum industry,"54,213",Decrease 0.4%,"12,812","Dallas, Texas"
60,Goldman Sachs,Financials,"53,922",Increase 2.7%,"38,300","New York City, New York"
61,Morgan Stanley,Financials,"53,823",Increase 7.2%,"60,431","New York City, New York"
62,Caterpillar Inc.,Machinery,"53,800",Decrease 1.7%,"102,300","Deerfield, Illinois"
63,Cisco,Telecom Hardware Manufacturing,"51,904",Increase 5.2%,"75,900","San Jose, California"
