,state,state_code,state_abbreviation,population_2015,population_2019
0,Alabama,AL,Ala,4858979.0,4903185
1,Alaska,AK,Alask,738432.0,731545
2,Arizona,AZ,Ariz,6828065.0,7278717
3,Arkansas,AR,Ark,2978204.0,3017825
4,California,CA,Calif,39144818.0,39512223
5,Colorado,CO,Colo,5456574.0,5758736
6,Connecticut,CT,Conn,3590886.0,3565287
7,Delaware,DE,Del,945934.0,973764
8,Washington DC,DC,D.C.,,705749
9,Florida,FL,Fla,20271272.0,21477737
10,Georgia,GA,Ga,10214860.0,10617423
11,Hawaii,HI,Hawai,1431603.0,1415872
12,Idaho,ID,Idah,1654930.0,1792065
13,Illinois,IL,Ill,12859995.0,12671821
14,Indiana,IN,Ind,6619680.0,6732219
15,Iowa,IA,Iow,3123899.0,3155070
16,Kansas,KS,Kans,2911641.0,2913314
17,Kentucky,KY,Ky,4425092.0,4467673
18,Louisiana,LA,La,4670724.0,4648794
19,Maine,ME,Main,1329328.0,1344212
20,Maryland,MD,Md,6006401.0,6045680
21,Massachusetts,MA,Mass,6794422.0,6949503
22,Michigan,MI,Mich,9922576.0,9986857
23,Minnesota,MN,Minn,5489594.0,5639632
24,Mississippi,MS,Miss,2992333.0,2976149
25,Missouri,MO,Mo,6083672.0,6137428
26,Montana,MT,Mont,1032949.0,1068778
27,Nebraska,NE,Nebr,1896190.0,1934408
28,Nevada,NV,Nev,2890845.0,3080156
29,New Hampshire,NH,N.H.,1330608.0,1359711
30,New Jersey,NJ,N.J.,8958013.0,8882190
31,New Mexico,NM,N.M.,2085109.0,2096829
32,New York,NY,N.Y.,19795791.0,19453561
33,North Carolina,NC,N.C.,10042802.0,10488084
34,North Dakota,ND,N.D.,756927.0,762062
35,Ohio,OH,Ohi,11614373.0,11689100
36,Oklahoma,OK,Okla,3911338.0,3956971
37,Oregon,OR,Ore,4028977.0,4217737
38,Pennsylvania,PA,Pa,12802503.0,12801989
39,Rhode Island,RI,R.I,1056298.0,1059361
40,South Carolina,SC,S.C.,4896146.0,5148714
41,South Dakota,SD,S.D.,858469.0,884659
42,Tennessee,TN,Tenn,6600299.0,6833174
43,Texas,TX,Tex,27469114.0,28995881
44,Utah,UT,Uta,2995919.0,3205958
45,Vermont,VT,Vt,626042.0,623989
46,Virginia,VA,Va,8382993.0,8535519
47,Washington,WA,Wash,7170351.0,7614893
48,West Virginia,WV,W.Va,1844128.0,1787147
49,Wisconsin,WI,Wis,5771337.0,5822434
50,Wyoming,WY,Wyo,586107.0,578759
